time,pdr,avg_delay,p95_delay,p99_delay,throughput_bps,control_overhead,avg_hop_count,route_breaks,packets_sent,packets_delivered,packets_dropped,energy_consumed,avg_ral,avg_link_util,congestion_events,proactive_reroutes,early_pdr,protocol_name,config_seed,num_nodes,max_speed
150.0,0.04813236400100276,0.20576227903791247,0.2944345132183798,0.31959084366944046,78643.2,0.0915200047366006,1.5260416666666667,1874,3989,192,3838,37870.080000000875,27.91996916879488,0.11546968687541638,0,0,0.0,OLSR,42,50,20.0
160.0,0.08748753738783649,0.1506885443577197,0.19660609120360562,0.27073707768643374,143769.6,0.09137642018997952,1.0256410256410255,1968,4012,351,3708,37373.88800000084,27.91996916879488,0.11271705184259838,0,0,0.0,OLSR,42,50,20.0
170.0,0.06372303060712493,0.18631472824596768,0.2831203539396043,0.29545888464791514,104038.4,0.09324170552667395,1.3818897637795275,2072,3986,254,3767,36855.23200000086,27.91996916879488,0.11124044679600235,0,0,0.0,OLSR,42,50,20.0
180.0,0.08089717741935484,0.16640122667524482,0.2723149983105202,0.4686702317238371,131481.6,0.09400842449256756,1.1744548286604362,2222,3968,321,3686,36505.47200000082,27.91996916879488,0.108317601332593,0,0,0.0,OLSR,42,50,20.0
190.0,0.07686529794692037,0.19158518536396374,0.287253724234111,0.2933330507934136,125747.2,0.09497073035222935,1.4006514657980456,2350,3994,307,3705,36027.71200000078,27.91996916879488,0.10675433982114678,0,0,0.0,OLSR,42,50,20.0
200.0,0.0916030534351145,0.16354210644114625,0.27653757906452797,0.29812548629744556,147456.0,0.09526986636842207,1.1277777777777778,2465,3930,360,3603,35436.80000000073,36.46094784014392,0.1063968015992004,0,0,0.0,OLSR,42,50,20.0
210.0,0.03195536393608927,0.14987757175812647,0.19344742980169372,0.19726280340361058,51609.6,0.09822520552191888,1.0,2587,3943,126,3861,35224.70400000062,36.46094784014392,0.10312232270347454,0,0,0.0,OLSR,42,50,20.0
220.0,0.0107421875,0.24592641494149864,0.29284960989898534,0.2950101083644162,18022.4,0.10208129454537289,2.0,2697,4096,44,4086,34801.792000000634,45.40418026616224,0.10179009541117673,0,0,0.0,OLSR,42,50,20.0
230.0,0.018295739348370928,0.1486768442789327,0.19432953199951722,0.19874097885091943,29900.8,0.10537024522999774,1.0,2831,3990,73,3960,34525.31200000064,45.40418026616224,0.09942633637548895,0,0,0.0,OLSR,42,50,20.0
240.0,0.04496951219512195,0.14808847869804512,0.19010801831180402,0.19645602093937897,72499.2,0.10720291530281915,1.0,2949,3936,177,3791,34363.520000000644,45.40418026616224,0.09655976676384839,0,0,0.0,OLSR,42,50,20.0
250.0,0.008051948051948052,0.15186294416889357,0.1948973305405275,0.19686882539853912,12697.6,0.11067116696178263,1.0,3080,3850,31,3797,34170.49600000064,45.40418026616224,0.09391443422630946,0,0,0.0,OLSR,42,50,20.0
260.0,0.046169203893186926,0.14887226949455548,0.19158998025196752,0.19693330660927358,75776.0,0.1122214846832909,1.0,3202,4007,185,3857,33620.60800000064,45.40418026616224,0.09344098423683198,0,0,0.0,OLSR,42,50,20.0
270.0,0.07908163265306123,0.1642988198807581,0.2689136652675444,0.2922839207969247,126976.0,0.11244997433721238,1.1709677419354838,3342,3920,310,3685,33122.880000000594,45.40418026616224,0.09308404294705666,0,0,0.0,OLSR,42,50,20.0
280.0,0.08702213279678069,0.1746052756348686,0.28286010003526485,0.2940189014217623,141721.6,0.11199615906373957,1.239884393063584,3479,3976,346,3663,32731.712000000596,45.40418026616224,0.09225990717600858,0,0,0.0,OLSR,42,50,20.0
290.0,0.026803118908382065,0.15084241468372336,0.19332818840043728,0.1966915423994692,45056.0,0.11394213823696586,1.0,3606,4104,110,4036,32596.032000000596,45.40418026616224,0.08985866942433644,0,0,0.0,OLSR,42,50,20.0
