time,pdr,avg_delay,p95_delay,p99_delay,throughput_bps,control_overhead,avg_hop_count,route_breaks,packets_sent,packets_delivered,packets_dropped,energy_consumed,avg_ral,avg_link_util,congestion_events,proactive_reroutes,early_pdr,protocol_name,config_seed,num_nodes,max_speed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50000.0,0.0,0.0,0,0,0.0,CPQR,42,50,20.0
10.0,0.33299924830869454,0.6430157208194913,1.2736110989297946,2.355243062630295,544358.4,0.13787021832998844,5.1715575620767495,85,3991,1329,2329,35203.7120000015,4.370147178450765,0.7194059405940595,0,0,0.0,CPQR,42,50,20.0
20.0,0.27982434740180534,0.5996143958218638,1.0662283931693,1.3798059428436757,469811.2,0.14076598719713357,5.3330427201394945,249,4099,1147,3210,23568.70400000199,4.370147178450765,0.666865671641791,0,0,0.0,CPQR,42,50,20.0
30.0,0.09323536863440587,0.48296785357895844,0.9394538616627723,1.0723903620458004,150732.8,0.13816650271710582,4.3125,405,3947,368,3647,18574.336000001847,4.370147178450765,0.5658471760797341,0,0,0.0,CPQR,42,50,20.0
40.0,0.06452422796886768,0.3564363620032489,0.9053467254118017,1.0519873730554874,105267.2,0.13423693011793697,3.0817120622568095,512,3983,257,3829,15298.368000001714,4.370147178450765,0.49391521197007476,0,0,0.0,CPQR,42,50,20.0
50.0,0.06363410390256027,0.34155028546835814,0.8363986409344886,1.0081053256057937,104857.6,0.13072162254845926,2.9609375,617,4023,256,3790,14088.768000001512,6.329180266162243,0.4238323353293413,0,0,0.0,CPQR,42,50,20.0
60.0,0.004995004995004995,0.14499267837146873,0.19023245882030365,0.19227436231648753,8192.0,0.13018337745870354,1.0,741,4004,20,4060,13453.760000001406,6.329180266162243,0.36326123128119797,0,0,0.0,CPQR,42,50,20.0
70.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,876,3985,0,4038,13127.10400000142,6.329180266162243,0.3175178316690442,0,0,0.0,CPQR,42,50,20.0
80.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1039,3925,0,3971,13121.408000001367,6.329180266162243,0.2780774032459426,0,0,0.0,CPQR,42,50,20.0
90.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1173,4006,0,4047,13121.408000001367,6.329180266162243,0.2472142064372919,0,0,0.0,CPQR,42,50,20.0
100.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1293,3954,0,3999,13121.408000001367,6.329180266162243,0.22251748251748255,0,0,0.0,CPQR,42,50,20.0
110.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1421,3992,0,4028,13121.408000001367,6.329180266162243,0.20230699364214352,0,0,0.0,CPQR,42,50,20.0
120.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1519,4026,0,4070,13121.408000001367,6.329180266162243,0.18546211490424644,0,0,0.0,CPQR,42,50,20.0
130.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1615,4017,0,4067,13121.408000001367,6.329180266162243,0.17120676402767102,0,0,0.0,CPQR,42,50,20.0
140.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1754,3972,0,4008,13121.408000001367,6.329180266162243,0.15898643825838688,0,0,0.0,CPQR,42,50,20.0
150.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1874,3989,0,4030,13121.408000001367,6.329180266162243,0.14839440373084611,0,0,0.0,CPQR,42,50,20.0
160.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,1968,4012,0,4046,13121.408000001367,6.329180266162243,0.1391255465334166,0,0,0.0,CPQR,42,50,20.0
170.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2072,3986,0,4023,13121.408000001367,6.329180266162243,0.13094650205761318,0,0,0.0,CPQR,42,50,20.0
180.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2222,3968,0,4010,13121.408000001367,6.329180266162243,0.12367573570238756,0,0,0.0,CPQR,42,50,20.0
