time,pdr,avg_delay,p95_delay,p99_delay,throughput_bps,control_overhead,avg_hop_count,route_breaks,packets_sent,packets_delivered,packets_dropped,energy_consumed,avg_ral,avg_link_util,congestion_events,proactive_reroutes,early_pdr,protocol_name,config_seed,num_nodes,max_speed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50000.0,0.0,0.0,0,0,0.0,AODV,42,50,20.0
10.0,0.22600851916812828,1.0617710540880305,4.466890269852834,5.53036496161338,369459.2,0.6068485500633368,3.83370288248337,85,3991,902,2743,46042.75200000044,5.934479296720766,0.2746534653465347,0,0,0.0,AODV,42,50,20.0
20.0,0.37789704806050256,0.6540131853860813,2.49897460224338,4.234856897676335,634470.4,0.6201016228158968,3.6275016139444802,249,4099,1549,2649,37629.56800000128,7.8698938774900205,0.380995024875622,0,0,0.0,AODV,42,50,20.0
30.0,0.5812009120851279,0.7349155372763198,3.0320477903157643,5.0862417583622985,939622.4,0.5561545158558838,4.010897994768962,405,3947,2294,1710,28432.38400000169,9.944180266162245,0.414750830564784,0,0,0.0,AODV,42,50,20.0
40.0,0.11298016570424303,0.8965263760503394,3.6149419299758305,4.3622351575398435,184320.0,0.569817737983309,3.922222222222222,512,3983,450,3749,22418.880000001434,9.944180266162245,0.39411471321695757,0,0,0.0,AODV,42,50,20.0
50.0,0.036539895600298286,1.3507688704648249,4.779084938931436,5.089241140501718,60211.2,0.6038005740647765,2.836734693877551,617,4023,147,4017,20186.304000001302,9.944180266162245,0.34958083832335335,0,0,0.0,AODV,42,50,20.0
60.0,0.0,0.0,0.0,0.0,0.0,0.6451529770849882,0.0,741,4004,0,4094,19046.016000001287,9.944180266162245,0.30183028286189684,0,0,0.0,AODV,42,50,20.0
70.0,0.034629861982434125,0.5854719501404311,0.9405481169763087,1.163047579853476,56524.8,0.6742579309900008,5.072463768115942,876,3985,138,3875,18450.560000001326,9.944180266162245,0.2712410841654778,0,0,0.0,AODV,42,50,20.0
80.0,0.0071337579617834395,2.221684314179999,2.9607843807620395,3.0480453804003536,11468.8,0.7031919146759293,5.428571428571429,1039,3925,28,3967,18258.496000001276,9.944180266162245,0.24057428214731588,0,0,0.0,AODV,42,50,20.0
90.0,0.0,0.0,0.0,0.0,0.0,0.7229172602827686,0.0,1173,4006,0,4047,17934.912000001277,9.944180266162245,0.21571587125416208,0,0,0.0,AODV,42,50,20.0
100.0,0.0,0.0,0.0,0.0,0.0,0.7389682920153103,0.0,1293,3954,0,3975,17823.74400000122,9.944180266162245,0.19610389610389606,0,0,0.0,AODV,42,50,20.0
110.0,0.0,0.0,0.0,0.0,0.0,0.7517155073521744,0.0,1421,3992,0,4047,17745.920000001224,9.944180266162245,0.17925522252497728,0,0,0.0,AODV,42,50,20.0
120.0,0.0,0.0,0.0,0.0,0.0,0.759593863381547,0.0,1519,4026,0,4071,17695.680000001168,9.944180266162245,0.16499583680266447,0,0,0.0,AODV,42,50,20.0
130.0,0.0,0.0,0.0,0.0,0.0,0.7697015465038552,0.0,1615,4017,0,4067,17695.680000001168,9.944180266162245,0.15231360491929283,0,0,0.0,AODV,42,50,20.0
140.0,0.0,0.0,0.0,0.0,0.0,0.784404257006693,0.0,1754,3972,0,4008,17695.680000001168,9.944180266162245,0.1414418272662384,0,0,0.0,AODV,42,50,20.0
150.0,0.0,0.0,0.0,0.0,0.0,0.7941466905187835,0.0,1874,3989,0,4030,17695.680000001168,9.944180266162245,0.13201865423051298,0,0,0.0,AODV,42,50,20.0
160.0,0.0,0.0,0.0,0.0,0.0,0.800740205438178,0.0,1968,4012,0,4046,17695.680000001168,9.944180266162245,0.1237726420986883,0,0,0.0,AODV,42,50,20.0
170.0,0.0,0.0,0.0,0.0,0.0,0.8089452851741329,0.0,2072,3986,0,4023,17695.680000001168,9.944180266162245,0.11649617871840093,0,0,0.0,AODV,42,50,20.0
180.0,0.0,0.0,0.0,0.0,0.0,0.8198889331783434,0.0,2222,3968,0,4010,17695.680000001168,9.944180266162245,0.11002776235424765,0,0,0.0,AODV,42,50,20.0
190.0,0.0,0.0,0.0,0.0,0.0,0.8272698798050222,0.0,2350,3994,0,4022,17695.680000001168,9.944180266162245,0.10423987375065753,0,0,0.0,AODV,42,50,20.0
200.0,0.0,0.0,0.0,0.0,0.0,0.8333974392076031,0.0,2465,3930,0,3967,17695.680000001168,9.944180266162245,0.09903048475762119,0,0,0.0,AODV,42,50,20.0
210.0,0.0,0.0,0.0,0.0,0.0,0.8395553863807799,0.0,2587,3943,0,3985,17695.680000001168,9.944180266162245,0.09431699190861495,0,0,0.0,AODV,42,50,20.0
220.0,0.0,0.0,0.0,0.0,0.0,0.8463065872294351,0.0,2697,4096,0,4136,17695.680000001168,9.944180266162245,0.09003180372557928,0,0,0.0,AODV,42,50,20.0
230.0,0.0,0.0,0.0,0.0,0.0,0.8528149749984651,0.0,2831,3990,0,4033,17695.680000001168,9.944180266162245,0.08611907866145155,0,0,0.0,AODV,42,50,20.0
240.0,0.0,0.0,0.0,0.0,0.0,0.857260698439161,0.0,2949,3936,0,3970,17695.680000001168,9.944180266162245,0.08253227821740941,0,0,0.0,AODV,42,50,20.0
250.0,0.0,0.0,0.0,0.0,0.0,0.8622959216032607,0.0,3080,3850,0,3890,17695.680000001168,9.944180266162245,0.07923230707716912,0,0,0.0,AODV,42,50,20.0
260.0,0.0,0.0,0.0,0.0,0.0,0.8671598813729614,0.0,3202,4007,0,4048,17695.680000001168,9.944180266162245,0.07618608227604767,0,0,0.0,AODV,42,50,20.0
270.0,0.0,0.0,0.0,0.0,0.0,0.8726579105208758,0.0,3342,3920,0,3945,17695.680000001168,9.944180266162245,0.07336542021473529,0,0,0.0,AODV,42,50,20.0
280.0,0.0,0.0,0.0,0.0,0.0,0.8769876776014992,0.0,3479,3976,0,4007,17695.680000001168,9.944180266162245,0.07074616208496966,0,0,0.0,AODV,42,50,20.0
290.0,0.0,0.0,0.0,0.0,0.0,0.8802780389397399,0.0,3606,4104,0,4142,17695.680000001168,9.944180266162245,0.06830748017924854,0,0,0.0,AODV,42,50,20.0
